Date,Arc,Section,Movement,Implement,Sets,Reps,Weight,Journal Note,Workout Note
,,SUPERSET B,ATG Split Squats (bench elevated),Hammer KB,2,—,15 lbs,15 sec hold at end of each set. Quad and hip flexor emphasis. Good psoas work.,
,,STRENGTH,Hex Bar Deadlift,Hex Bar,5,10,135 lbs (45/side),Felt good and loose. Strong session. Evening at daughter's practice.,
,,STRENGTH,KB Swings,Kettlebell,2,10,97 lbs,Heavy. Felt powerful. Hips loaded well.,
4/15/2026,"Controlled Power        
Functional Strength Training",STRENGTH,Walking Lunges,Sandbag,3,16/10/8 steps each way,60 lbs,"Descending ladder — 16 steps, 10 steps, 8 steps each direction. Left hamstring sore throughout. Likely from trigger point release earlier in week. Great quad pump noted.","Best session of the arc so far. 75+ minutes, 517 active calories, and genuinely strong output. Walking lunges with 60lb sandbag is serious loaded carry work — left hamstring soreness noted, consistent with the trigger point release earlier this week, monitor. Barbell dead clean and press at 95lbs for 5x8 is a solid full-body lift — form breakdown at set 5 rep 6 marks the current ceiling, good data point. Clubbell circle work is smart shoulder maintenance given the ongoing rear rotator cuff irritation from earlier this week. Shoulder held up today which is a positive sign."
,,SUPERSET A,Macebell 360s,Macebell,3,12/direction,12 lbs,Superset with walking lunges.,
,,STRENGTH,Barbell Dead Clean and Press,Barbell,5,8,95 lbs (45+25+25),Felt good and strong. Form and strength slipping on set 5 around rep 6. Good indicator of true working threshold.,
,,CORE/MOBILITY,Kick-Throughs,Bodyweight,4,12,BW,Superset with clubbell flow.,
,,FLOW,Light Clubbell Flow,Clubbell,1,1 round,6 lbs,Single round following kick-throughs.,
,,MOBILITY,Clubbell Inside/Outside Circles,Clubbell,2,10 inside + 10 outside per arm (20 total/arm),Medium,Shoulder health work. Inside then outside each arm.,
4/16/2026,"Controlled Power
Outdoor Ruck + Mobility",ENDURANCE,Outdoor Ruck,Weighted Pack,1,2.18 miles,#ERROR!,"Progressive overload on the ruck — added 10lb plate from last session. Same distance and time as April 10 walk, higher load. Good adaptation marker.","Smart recovery day following the big April 15 session. Ruck load increased with a 10lb plate added — first progressive overload marker on the ruck. Nearly identical time and distance to the April 10 walk (47:58, 2.21mi) but with added load, meaning relative effort was higher. Avg HR 126 vs 113 on April 10 confirms the extra load is working the system harder. Mobility work to follow — log details when complete."
,,MOBILITY,Mobility Work,Bodyweight,—,Incoming,BW,Post-ruck mobility session — details not yet logged.,
4/19/2026,Controlled Power	Functional Strength Training,LIFE,Cut the Grass,—,1,—,—,Pre-workout NEAT. Counts.,"April 17 was an outdoor walk with wife — active recovery, no formal session logged. April 18 rest. Today's session short but effective. Axel bar selection is smart — grip strength is a legitimate weak point for most lifters and the thick bar taxes the hands on every single rep regardless of movement. Dead clean and press plus bent over row superset hits full posterior chain and overhead push in one block. Pull-ups returning without shoulder complaint is the most important note from today — first time back on them since the shoulder flag on April 13. Monitor next session to confirm the trend."
,,SUPERSET A,Dead Clean and Press,Rogue Stubby Axel Bar,5,8,70 lbs (20lb bar + 25+25),Grip training emphasis with the axel bar. Thick bar makes every movement harder on the hands and forearms.,
,,SUPERSET A,Bent Over Row,Rogue Stubby Axel Bar,5,8,70 lbs,Superset with clean and press. No rest between.,
,,SUPERSET B,Deadlift,Rogue Stubby Axel Bar,4,12,70 lbs,Grip challenge on higher rep deadlifts with axel bar is significant.,
,,SUPERSET B,Pull-Ups (Fat Bar),Fat Bar,4,6,BW,Back on the fat bar pull-ups. Shoulder held up — positive sign.,
4/21/2026,Controlled Power	Functional Strength Training,WARM-UP,Slamball Back Circles,Slamball,1,5/direction,30 lbs,Opening movement prep. Spinal mobility and posterior chain activation.,"Best effort rating of the arc so far — Hard 8/10, 403 active calories in 52 minutes, peak HR 183. The push-up to toe touch superset with fat bar chin-ups at the end was the finisher that broke the session open. 10 fat bar chin-ups for 3 sets after everything that came before it is serious work — the last set requiring a full lay-down recovery is a sign of genuine maximal output, not poor pacing. Right knee showing slight pump during slant board squats — no pain, first time noted, monitor going forward. Macebell up to 18lbs on 360s which is the heaviest used in this arc. Shoulder continued to hold with no complaint — three sessions now pain free. Hex bar deadlifts post-session at 135 for 5x10 confirms consistent strength baseline even under fatigue."
,,SUPERSET A,KB Swing Clean Press with Rotation,Kettlebell,4,8/arm,20kg (44 lbs),Strong movement. Rotation cue engaged. Full shoulder and thoracic demand.,
,,SUPERSET A,Sandbag Deadlift Over-Shoulder Toss,Sandbag,4,8 total,60 lbs,Explosive hip extension. No rest between A movements.,
,,SUPERSET B,Slant Board Sandbag Offset Squat,Sandbag,3,12 total (6/shoulder),60 lbs,Alternating shoulders for offset load. Full depth on slant board. Slight right knee pump noted — no pain.,
,,SUPERSET B,Macebell 360 Flow,Macebell,3,12/direction,18 lbs,Heavier mace than recent sessions (up from 12-15 lbs). Shoulder holding up well.,
,,SUPERSET C,Push-Up to Toe Touch,Bodyweight,3,14,BW,Core and hip flexor demand. Significant conditioning component.,
,,SUPERSET C,Fat Bar Chin-Ups,Fat Bar,3,10,BW,Last set was maximal effort. Required laying down to recover. Grip and lat pushed to limit.,
,,EXTRA,Hex/Trap Bar Deadlift,Hex Bar,5,10,135 lbs (45/side),Post-session extra work. Same load as April 14. Consistent strength baseline confirmed.,
4/22/2026,Controlled Power	Traditional Strength Training,ENDURANCE,Outdoor Ruck,Weighted Pack,1,2.17 miles,40 lbs,Third ruck logged. Consistent distance ~2.17-2.21 miles. HR 114 vs 126 on April 16 at same load — aerobic adaptation already showing.,"Double session day — 40lb ruck in the morning followed by strength work in the evening. Two notable flags: left knee tightness during the squat-style sandbag deadlifts (different knee than the right knee pump noted April 21 — now both knees have been flagged in consecutive sessions, monitor closely). Turkish get-ups with 60lb sandbag are an advanced movement — fatigue was real and appropriate given everything that came before. Zercher squats with paused reps at the bottom are a high-value movement for quad strength and core integrity, directly relevant to the APT correction goal. Session cut short by family. Stretching planned for tonight."
,,STRENGTH,Zercher Squat,Barbell,2,10,45 lbs,"Warm-up sets. Zercher is a demanding positional squat — arms loaded in the crook of the elbows, heavy core and upper back demand.",
,,STRENGTH,Zercher Squat,Axel Bar,2,—,70 lbs (20lb bar + 25+25),Working sets. 2-4 second pause at absolute bottom. Brutal on the quads and core. Paused reps remove the stretch reflex — harder than standard tempo.,
,,STRENGTH,Sandbag Deadlift Over-Shoulder,Sandbag,2,5,100 lbs,"Squat-style — loading hips, exploding up and over. Left knee tightness noted during these.",
,,STRENGTH,Sandbag Romanian Deadlift Over-Shoulder,Sandbag,2,6,100 lbs,Hip hinge dominant variation. Explosive finish over shoulder. 100lb sandbag is a significant load for this pattern.,
,,STRENGTH,Turkish Get-Up,Sandbag,2,2,60 lbs,Feeling beat on these. Sandbag TGU is considerably harder than KB TGU due to shifting load. Cut short due to family duties.,
4/24/2026,Controlled Power        Traditional Strength Training,NEAT,Zoo Walk,Bodyweight,1,0.62 miles,BW,Casual outing. HR 127 despite low distance suggests incline or stop-start terrain at the zoo.,"Intentional, technical session. Took time between sets — good call given the training density this week. Incline bench at 27 degrees with paused reps is exactly the upper chest work the program calls for and the baseline assessment flagged. 45lb dumbbell pullover with no shoulder issue is a meaningful positive marker compared to the April 9 session where 30lb pullovers caused problems. The Pendlay-style row with dead stop each rep is a high-quality upper back movement — the strict setup (parallel torso, glutes back, pull to lower chest) is textbook. No knee or shoulder flags today. Clean session."
,,WARM-UP,Mobility Flow,Bodyweight,1,—,BW,Pre-session mobility prep.,
,,STRENGTH,Incline Bench Press,Barbell,4,1x10 / 3x8,25 lbs / 45 lbs,27 degree incline. 2 sec pause at bottom each rep. Pause removes stretch reflex — harder than standard tempo. Upper chest emphasis. This is a key deficiency movement.,
,,HYPERTROPHY,Incline Dumbbell Fly,Dumbbell,3,8,25 lbs,Same 27 degree incline. Upper pec stretch and squeeze. Good complement to the press.,
,,HYPERTROPHY,Dumbbell Pullover,Dumbbell,3,8,45 lbs,Shoulder health and lat/serratus integration. Heavier than the slamball pullovers from April 9 — and no shoulder complaint noted.,
,,STRENGTH,Bent Over Barbell Row,Barbell,4,8,45 lbs,"Dead stop each rep, hands off the floor. Upper body parallel. Pull to lower chest/upper ab. Strict Pendlay-style. Glutes back, hamstrings engaged throughout.",
,,STRENGTH,Deadlift,Barbell,3,8,45 lbs,—,
,,CORE,Knees to Elbows,Bodyweight,2,8,BW,Core compression. Good finish movement.,
4/28/2026,Controlled Power	Functional Strength Training,SUPERSET A,KB Swing Clean Press with Rotation (away from bell),Kettlebell,3,8/arm,35 lbs,Rotation away from the bell. Thoracic rotation emphasis. Outdoor shirtless session.,"Strong session to close out April. Outside shirtless — good sign of momentum and comfort. Two KB rotation variations in the same session is intentional thoracic work hitting both directions, directly relevant to the postural correction goals. Chest supported row at 45lbs for 4x12 is the heaviest and highest volume upper back isolation work logged in the arc so far. Hex bar deadlift at 135 for 4x10 is the fourth appearance of this load — next session at this weight should be the trigger to move up to 185lbs or add a fifth set."
,,SUPERSET A,KB Swing Clean Press + Windmill (rotate toward bell),Kettlebell,4,6/arm,35 lbs,Rotation into the windmill. Two rotation variations in same session — smart thoracic work hitting both directions.,
,,STRENGTH,Slant Board Sandbag Offset Squat,Sandbag,3,16 total (8/shoulder),60 lbs,Full depth calves to hamstrings. Alternating shoulders each set. Noted as super tough — appropriate given the depth and load.,
,,STRENGTH,Chest Supported Dumbbell Row,Dumbbell,4,12,45 lbs each,"Bench at 26 degrees. Slow controlled eccentric, pause and squeeze at top. Chest supported removes lower back from the equation — pure upper back isolation. 4x12 at 45s is solid volume.",
,,STRENGTH,Hex Bar Deadlift,Hex Bar,4,10,135 lbs (45/side),Evening session. Consistent baseline load. Fourth time logging this movement at this weight.,
4/29/2026,Controlled Power	Recovery / Low Energy Session,RECOVERY,Hip 90/90s,Bodyweight,—,—,BW,Psoas and hip flexor mobility work. Smart starting point given low energy state.,"Poor sleep and an edible made for a depleted session. Energy notably low throughout. The decision to lean into recovery work first (90/90s, psoas release, lacrosse ball) before training was the right call. The pullover comment — felt really good on my thoracic spine, felt needed — is the body communicating accurately. After the volume of the last week including slant board squats, sandbag work, and heavy rows, the thoracic spine needed that decompression. Getting any training done at all on a day like this is a win. No flags beyond low energy."
,,RECOVERY,Psoas Release,Release Ball,—,—,—,Targeted psoas release. Ongoing postural correction work.,
,,RECOVERY,Lacrosse Ball — Back and Neck,Lacrosse Ball,—,—,—,Soft tissue work on back and neck. Likely needed after the volume of the last several sessions.,
,,CONDITIONING,Push-Ups,Bodyweight,—,—,BW,Unspecified volume. Low intensity movement prep.,
,,FLOW,Macebell 360s,Macebell,3,10/direction,12 lbs,Both directions per set. Shoulder and thoracic flow work.,
,,HYPERTROPHY,Dumbbell Pullover,Dumbbell,2,—,45 lbs,Felt really good on thoracic spine. Described as felt needed — body self-selecting the right movement.,
,,STRENGTH,Dead Clean and Press,Axel Bar,3,10,70 lbs (25+25 on shorty axel),Low energy but still got three quality sets in.,
5/1/2026,Controlled Power	Functional Strength Training,WARM-UP,Hip Mobility Flow,Bodyweight,1,—,BW,"Post-weekend reset. Birthday parties, food, and drinking over the weekend. Back to clean eating today.","Back on track after a weekend off. Not the most intense session but the right one for today — reactivation, mobility, and then finishing with a genuinely demanding strength movement. The cross-body rotational single-leg deadlift at 97lbs for 4x8 each leg is the most technically complex movement logged in this arc. The thoracic rotation at the bottom combined with the contralateral load and single leg balance demand makes this a full-system movement — posterior chain, anti-rotation core, hip stability, and thoracic mobility all in one pattern. Exactly aligned with the Strength Through Mobility philosophy."
,,FLOW,KB Swing Clean Press + Windmill,Kettlebell,2,8/side,20 lbs,Light. Reactivation focus after the weekend.,
,,FLOW,Macebell 360s,Macebell,2,12/direction,12 lbs,Shoulder and thoracic flow.,
,,STRENGTH,Axel Bar Dead Clean and Press,Axel Bar,2,—,70 lbs (25+25),—,
,,MOBILITY,Slamball Back Circles,Slamball,1,5/direction,30 lbs,—,
,,CONDITIONING,Single Arm KB Swing with Switch,Kettlebell,1,20 total,—,—,
,,STRENGTH,Cross-Body Rotational Single-Leg Deadlift,Kettlebell,4,8/leg,97 lbs,"KB placed on left side, left foot next to bell, right foot shoulder width on toes. Right arm reaches across body. Sit back into left hamstring, hips as far back as possible. Drive hips forward lifting bell across body — top position bell above right knee. Eccentric: hips shoot back, left shoulder rotates toward ceiling, right toward left foot as bell lowers to tap floor. Full thoracic rotation at bottom. Contralateral loading pattern.",
5/5/2026,Controlled Power	Functional Strength Training,SUPERSET A,Barbell Dead Clean and Press,Barbell,4,8,95 lbs (45+25+25),Consistent load from April 15. Clean pull from floor each rep.,"Clean, well-structured session. Three distinct blocks each addressing a different demand — power/explosive (clean and press + sandbag toss), lower body/stability (slant board squat + mace flow), and upper back strength (bent over row). The bent over row at 4x10 with 95lbs in strict parallel position is the best upper back volume logged in the arc. 389 active calories in 52 minutes with an avg HR of 135 reflects consistent moderate-high output. No joint flags today. Solid session heading into week 4."
,,SUPERSET A,Sandbag Romanian Deadlift Over-Shoulder Toss,Sandbag,4,8 total,60 lbs,Hip hinge dominant. Explosive finish over shoulder.,
,,SUPERSET B,Slant Board Sandbag Offset Squat,Sandbag,3,12 total (6/shoulder),60 lbs,Full depth on slant board. Alternating shoulders.,
,,SUPERSET B,Macebell 360s,Macebell,3,12/direction,—,Thoracic and shoulder flow. Superset with squats.,
,,STRENGTH,Barbell Bent Over Row,Barbell,4,10,95 lbs (45+25+25),"Hips fully loaded, glutes back, torso parallel to floor. Row to sternum, slow controlled eccentric. Strict Pendlay-style setup. 4x10 is highest rep count logged on this movement.",
5/6/2026,Controlled Power	Functional Strength Training,WARM-UP,Bear Crawls,Bodyweight,2,~20 steps distance,BW,Same distance as walking lunges. Shoulder stability and contralateral coordination demand.,"Well rounded session — locomotion warm-up, power/flow superset, pulling and pushing superset, then dedicated core and mobility work to finish. The bear crawl to walking lunge pairing as a warm-up is smart — gets the whole system firing before loading. Left side asymmetry on the seated leg lifts is a meaningful data point. The left hip flexor/psoas struggling compared to the right is consistent with the left hamstring tightness and left knee flags noted earlier in the arc. The left side of the posterior and anterior chain is a recurring theme — worth addressing directly with targeted unilateral work. Half kneeling lateral shift is exactly the right movement for this."
,,WARM-UP,Walking Lunges,Bodyweight,2,20 steps,BW,Paired with bear crawls as movement prep.,
,,SUPERSET A,Gunslinger KB Swing (Single Arm),Kettlebell,3,8/arm,44 lbs,Single arm swing with hip snap. Anti-rotation demand significant at this load.,
,,SUPERSET A,Macebell 360s,Macebell,3,10/direction,15 lbs,Heavier mace than recent sessions. Shoulder and thoracic flow.,
,,SUPERSET B,Fat Bar Pull-Ups,Fat Bar,3,10,BW,Consistent pull-up volume. Grip demand elevated on fat bar.,
,,SUPERSET B,Toe Touch Push-Ups,Bodyweight,3,16,BW,Core and hip flexor demand on each rep.,
,,CORE/MOBILITY,Seated Leg Lifts over Kettlebell,Bodyweight,2,20 taps/leg (10 each side),BW,"Sitting upright, hands on chest. Left side noticeably harder and burns more than right. Worth monitoring — hip flexor asymmetry or left psoas weakness likely.",
,,MOBILITY,Heel Clickers (from 90/90),Bodyweight,2,6/leg,BW,Hip internal/external rotation from 90/90 position.,
,,MOBILITY,Half Kneeling Lateral Shift,Bodyweight,2,6 reps + hold at bottom,BW,Lateral hip and groin mobility. Hold at end range.,
5/15/2026,Controlled Power        Traditional Strength Training — Hotel Gym,SUPERSET A,Cable Face Pulls,Cable Machine,4,10,22.5 lbs,Rear delt and rotator cuff health. Direct shoulder maintenance work. Smart opener given the shoulder history in this arc.,Commercial gym session. Most technically varied pull-up work logged in the arc — four different grip variations in sequence targets the back and arms from multiple angles simultaneously. Smart programming. Face pulls as the opener is the right call for shoulder longevity given the rotator cuff flags from earlier in the arc. ATG split squats foot-elevated is the most demanding version of that movement — directly targeting the left hip flexor weakness identified May 6. Kneeling cable crunch at 55lbs with rotational component is solid weighted core work. No Apple Watch data for this session — commercial gym visit.
,,SUPERSET A,Dumbbell Pullover,Dumbbell,4,10,30 lbs,Lighter than the 45lb pullover logged April 24 — likely due to cable machine fatigue on the face pulls or intentional control focus.,
,,SUPERSET B,ATG Split Squats (foot elevated),Bodyweight,4,10,BW,"Foot on bench. Full ATG depth. Quad, hip flexor, and knee health work. Directly addresses APT and left hip complex weakness flagged throughout the arc.",
,,SUPERSET B,Kneeling Cable Crunch,Cable Machine,4,20 total (10 straight + 10 alternating),55 lbs,Straight down x10 then alternating elbow to opposite knee x10. Rotational core demand on the alternating reps. Good TVA and oblique integration.,
,,SUPERSET C,Pull-Ups — Rock Climbing Grip,Pull-Up Bar,1,8,BW,Grip variety targets different recruitment patterns in the lats and forearms.,
,,SUPERSET C,Pull-Ups — Angled Chin-Up Grip,Pull-Up Bar,1,10,BW,Bicep and lat emphasis.,
,,SUPERSET C,Pull-Ups — Angled Wide Grip,Pull-Up Bar,1,10,BW,Lat width emphasis.,
,,SUPERSET C,Pull-Ups — Hammer Grip,Pull-Up Bar,1,—,BW,Brachialis and neutral lat emphasis. Rep count not logged.,
,,SUPERSET C,Cable Cross — Low to High,Cable Machine,4,12,17.5 lbs each arm,"Hands start low and behind, finish above eye level in front. Low-to-high path targets lower pec and anterior delt on the drive, upper chest on the finish. Good upper chest complement to the incline work logged earlier in the arc.",
5/14/2026,Controlled Power        NEAT — Theme Park,NEAT,Theme Park Walk,Bodyweight,1,6.84 miles,BW,"16,464 steps. 12/12 stand hours with only 1 idle hour. 3 flights climbed. Full day on feet — significant passive caloric expenditure.","Unstructured active day at a theme park. No formal training session but 6.84 miles and 16,464 steps is meaningful NEAT volume — more total distance than any single ruck logged in the arc. Full stand ring closed with only 1 idle hour across the entire day. This type of all-day low-intensity movement is highly effective for fat loss without adding recovery demand. Good buffer day between the May 13 session and whatever comes next.
"
